url	chapt_title	img_path
https://hutchdatascience.org/FH_WDL101_Cromwell/no_toc/index.html	About this Guide	resources/chapt_screen_images/index.png
https://hutchdatascience.org/FH_WDL101_Cromwell/no_toc/introduction.html	1 Introduction	resources/chapt_screen_images/introduction.png
https://hutchdatascience.org/FH_WDL101_Cromwell/no_toc/getting-started-with-cromwell.html	2 Getting Started with Cromwell	resources/chapt_screen_images/getting-started-with-cromwell.png
https://hutchdatascience.org/FH_WDL101_Cromwell/no_toc/using-shiny-to-manage-workflows.html	3 Using Shiny to Manage Workflows	resources/chapt_screen_images/using-shiny-to-manage-workflows.png
https://hutchdatascience.org/FH_WDL101_Cromwell/no_toc/fred-hutch-customizations.html	4 Fred Hutch Customizations	resources/chapt_screen_images/fred-hutch-customizations.png
https://hutchdatascience.org/FH_WDL101_Cromwell/no_toc/using-the-fh.wdlr-package.html	5 Using the fh.wdlR Package	resources/chapt_screen_images/using-the-fh.wdlr-package.png
https://hutchdatascience.org/FH_WDL101_Cromwell/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
